<RTE>
MODEL=facebook/opt-125m, TASK=SST2, MODE=fft-1e-6-28, LR=1e-06, SEED=28, ACC= 0.9139908256880734
MODEL=facebook/opt-125m, TASK=SST2, MODE=fft-1e-5-28, LR=1e-05, SEED=28, ACC= 0.9071100917431193
MODEL=facebook/opt-125m, TASK=SST2, MODE=fft-1e-6-210, LR=1e-06, SEED=210, ACC= 0.9105504587155964
MODEL=facebook/opt-125m, TASK=SST2, MODE=fft-1e-5-210, LR=1e-05, SEED=210, ACC= 0.9208715596330275
MODEL=facebook/opt-125m, TASK=SST2, MODE=fft-1e-6-8274, LR=1e-06, SEED=8274, ACC= 0.9128440366972477
MODEL=facebook/opt-125m, TASK=SST2, MODE=fft-1e-5-8274, LR=1e-05, SEED=8274, ACC= 0.926605504587156
MODEL=facebook/opt-125m, TASK=SST2, MODE=fft-1e-5-10283, LR=1e-05, SEED=10283, ACC= 0.9105504587155964
MODEL=facebook/opt-125m, TASK=SST2, MODE=fft-1e-6-10283, LR=1e-06, SEED=10283, ACC= 0.911697247706422
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-5e-5-28, LR=5e-05, SEED=28, ACC= 0.9036697247706422
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-1e-5-28, LR=1e-05, SEED=28, ACC= 0.9105504587155964
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-5e-4-28, LR=0.0005, SEED=28, ACC= 0.8795871559633027
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-1e-4-28, LR=0.0001, SEED=28, ACC= 0.8990825688073395
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-5e-5-210, LR=5e-05, SEED=210, ACC= 0.9036697247706422
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-1e-5-210, LR=1e-05, SEED=210, ACC= 0.9002293577981652
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-5e-4-210, LR=0.0005, SEED=210, ACC= 0.8727064220183486
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-1e-4-210, LR=0.0001, SEED=210, ACC= 0.9151376146788991
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-5e-5-8274, LR=5e-05, SEED=8274, ACC= 0.9025229357798165
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-1e-5-8274, LR=1e-05, SEED=8274, ACC= 0.8979357798165137
MODEL=facebook/opt-125m, TASK=SST2, MODE=lora-1e-5-28, LR=1e-05, SEED=28, ACC= 0.9025229357798165
MODEL=facebook/opt-125m, TASK=SST2, MODE=lora-1e-4-28, LR=0.0001, SEED=28, ACC= 0.9151376146788991
MODEL=facebook/opt-125m, TASK=SST2, MODE=lora-1e-5-210, LR=1e-05, SEED=210, ACC= 0.9094036697247706
MODEL=facebook/opt-125m, TASK=SST2, MODE=lora-1e-4-210, LR=0.0001, SEED=210, ACC= 0.9174311926605505
MODEL=facebook/opt-125m, TASK=SST2, MODE=lora-1e-5-8274, LR=1e-05, SEED=8274, ACC= 0.9071100917431193
MODEL=facebook/opt-125m, TASK=SST2, MODE=lora-1e-4-8274, LR=0.0001, SEED=8274, ACC= 0.9036697247706422
MODEL=facebook/opt-125m, TASK=SST2, MODE=lora-1e-5-10283, LR=1e-05, SEED=10283, ACC= 0.9105504587155964
MODEL=facebook/opt-125m, TASK=SST2, MODE=lora-1e-4-10283, LR=0.0001, SEED=10283, ACC= 0.9208715596330275
MODEL=facebook/opt-125m, TASK=SST2, MODE=bitfit-1e-5-28, LR=1e-05, SEED=28, ACC= 0.8956422018348624
MODEL=facebook/opt-125m, TASK=SST2, MODE=bitfit-1e-4-28, LR=0.0001, SEED=28, ACC= 0.9059633027522935
MODEL=facebook/opt-125m, TASK=SST2, MODE=bitfit-1e-5-210, LR=1e-05, SEED=210, ACC= 0.893348623853211
MODEL=facebook/opt-125m, TASK=SST2, MODE=bitfit-1e-4-210, LR=0.0001, SEED=210, ACC= 0.9036697247706422
MODEL=facebook/opt-125m, TASK=SST2, MODE=bitfit-1e-5-8274, LR=1e-05, SEED=8274, ACC= 0.8841743119266054
MODEL=facebook/opt-125m, TASK=SST2, MODE=bitfit-1e-4-8274, LR=0.0001, SEED=8274, ACC= 0.8887614678899083
MODEL=facebook/opt-125m, TASK=SST2, MODE=bitfit-1e-5-10283, LR=1e-05, SEED=10283, ACC= 0.9025229357798165
MODEL=facebook/opt-125m, TASK=SST2, MODE=bitfit-1e-4-10283, LR=0.0001, SEED=10283, ACC= 0.8990825688073395
